StateWellID,Latitude,Longitude,Fluoride_avg,WellDepth,Rainfall,Elevation,Tmin,claytotal_l,awc_l,pi_r,ph_r
339101,36.476111,-101.221111,1.24,144,498.0795548,917,5.67071624,18,0.119999997,19,8.199999809
1030802,34.504167,-102.303056,1.515,376,487.5383252,1163,5.49932065,27,0.119999997,21,7.900000095
1038201,34.467778,-102.2975,1.24,378,481.8483338,1151,5.59389525,27,0.119999997,21,7.900000095
1038603,34.437778,-102.260278,1.48,381,475.6524371,1140,5.69850544,27,0.119999997,21,7.900000095
1040503,34.428055,-102.043334,1.44,370,465.4927175,1116,5.95718416,27,0.119999997,21,7.900000095
1038604,34.448611,-102.292222,1.036666667,376,478.7989858,1146,5.64241245,55,0.109999999,44,7.800000191
1022404,34.697778,-102.373055,1.875,275,490.0005946,1173,5.58659119,27,0.119999997,19,7.900000095
1036301,34.481944,-102.512223,1.17,380,478.8894712,1188,5.49271108,27,0.119999997,19,7.900000095
1036302,34.481111,-102.52,1.35,385,478.4823516,1189,5.49473598,27,0.119999997,19,7.900000095
1037403,34.423889,-102.497222,1.415,379,473.6947474,1173,5.53446315,27,0.119999997,19,7.900000095
1037601,34.4405556,-102.4008333,1.03,399,478.5136147,1160,5.5675746,27,0.119999997,19,7.900000095
1037602,34.426944,-102.410556,1.236666667,382,476.5083436,1159,5.58353219,27,0.119999997,19,7.900000095
1038202,34.4825,-102.302223,1.156,354,484.2863016,1156,5.55171084,27,0.119999997,19,7.900000095
1039402,34.451945,-102.214445,1.64,400,474.5428515,1139,5.72655678,27,0.119999997,19,7.900000095
1039501,34.432778,-102.179444,1.48,254,469.2274289,1132,5.80781106,27,0.119999997,19,7.900000095
1039901,34.392778,-102.153334,1.69,401,461.9690162,1121,5.91818558,27,0.119999997,19,7.900000095
1040402,34.421389,-102.107778,1.55,402,463.1027339,1124,5.89231002,27,0.119999997,19,7.900000095
1040708,34.386945,-102.117222,1.4775,415,459.4548277,1117,5.9665395,27,0.119999997,19,7.900000095
1045102,34.349445,-102.469722,1.63,301,467.9815392,1160,5.55045124,27,0.119999997,19,7.900000095
1045202,34.336111,-102.418055,1.43,367,467.8952999,1152,5.6180568,27,0.119999997,19,7.900000095
1045501,34.319722,-102.418611,1.3,330,466.874576,1150,5.62886923,27,0.119999997,19,7.900000095
1046410,34.317222,-102.337222,1.76,320,466.9816862,1137,5.76293341,27,0.119999997,19,7.900000095
1047101,34.353612,-102.234167,1.94,370,465.3284478,1125,5.86647192,27,0.119999997,19,7.900000095
1039702,34.378889,-102.233611,1.66,414,467.0770229,1127,5.82551853,22,0.109999999,22,8
1032401,34.542778,-102.103889,2.848,270,479.727182,1139,5.76278729,18,0.090000004,21,8.800000191
1127407,34.562501,-101.718333,4.34,125,511.0878467,1050,6.52333183,15,0.129999995,16.5,8.199999809
1028704,34.529722,-102.586389,1.41,420,480.5654448,1213,5.4863581,18,0.07,20,8.399999619
1028703,34.518889,-102.605001,1.68,425,479.3768709,1213,5.49728822,18,0.07,20,8.399999619
1018901,34.645278,-102.77,1.59,340,485.1448378,1240,5.57399757,12,0.119999997,13,7.5
1025703,34.524444,-102.975,1.55,406,454.7205467,1270,5.696413,12,0.119999997,13,7.5
1025905,34.515001,-102.894445,1.46,350,463.1969914,1249,5.6081989,12,0.119999997,13,7.5
1025907,34.511112,-102.882222,1.77,350,464.3049672,1246,5.59463864,12,0.119999997,13,7.5
1027705,34.530833,-102.727778,1.51,459,479.0411123,1233,5.54286449,12,0.119999997,13,7.5
1033605,34.440556,-102.903612,2.24,429,458.0686939,1249,5.66706421,12,0.119999997,13,7.5
1042302,34.350834,-102.766667,2.15,371,462.1330849,1206,5.4964203,12,0.119999997,13,7.5
1035705,34.415556,-102.719722,1.89,298,467.3415357,1217,5.52389982,12,0.119999997,13,7.5
1035708,34.415278,-102.718611,1.95,418,467.3528142,1216,5.5235994,12,0.119999997,13,7.5
940912,34.378889,-103.005556,2.446,412,448.4307683,1251,5.75870338,6,0.090000004,11,6.900000095
940913,34.380278,-103.032222,2.37,380,447.9428558,1253,5.76632915,6,0.090000004,11,6.900000095
948304,34.373055,-103.039167,2.16,397,447.6413591,1251,5.76588505,6,0.090000004,11,6.900000095
1033902,34.378333,-102.885278,1.78,375,456.7558033,1234,5.65824788,6,0.090000004,11,6.900000095
1034404,34.451667,-102.838334,2.16,488,464.1321873,1240,5.58975007,6,0.090000004,11,6.900000095
1041209,34.346667,-102.956112,2.61,395,450.1523017,1236,5.71049212,6,0.090000004,11,6.900000095
1042104,34.350278,-102.8475,2.16,360,458.3339303,1219,5.59373285,6,0.090000004,11,6.900000095
1043405,34.329167,-102.721944,2.095,411,462.537278,1189,5.46746931,6,0.090000004,11,6.900000095
1042506,34.329722,-102.800556,2.38,385,460.2798344,1203,5.51353781,6,0.090000004,11,6.900000095
1018505,34.679167,-102.796945,1.5,360,482.2926637,1247,5.58066295,22,0.109999999,22,8
1018506,34.673055,-102.7925,1.55,325,482.9273576,1246,5.5803847,22,0.109999999,22,8
1019202,34.728889,-102.688611,1.94,449,484.3845848,1228,5.52493259,22,0.109999999,22,8
1019404,34.685,-102.729167,2.58,468,486.1783165,1232,5.54603433,22,0.109999999,22,8
1019502,34.668055,-102.706945,2.092,502,487.0312073,1227,5.53691798,22,0.109999999,22,8
1020402,34.670833,-102.599722,1.62,360,485.3315659,1213,5.50609539,22,0.109999999,22,8
1027201,34.583889,-102.702223,1.65,485,485.1078225,1237,5.54666344,22,0.109999999,22,8
1028202,34.614445,-102.5675,2.16,460,484.9317726,1216,5.4844968,22,0.109999999,22,8
924303,34.741111,-103.031111,1.045,360,453.8552381,1324,5.68767014,27,0.119999997,19,7.900000095
1019504,34.669444,-102.693611,1.51,507,487.0340521,1226,5.53167064,27,0.119999997,19,7.900000095
1019705,34.636111,-102.726944,1.95,332,486.9544646,1232,5.54981474,27,0.119999997,19,7.900000095
1025704,34.525555,-102.985556,2.1,430,453.834618,1272,5.70472134,27,0.119999997,19,7.900000095
1027501,34.5694444,-102.6836111,1.54,493,483.9930039,1234,5.53695945,27,0.119999997,19,7.900000095
1027702,34.525278,-102.723889,1.7,440,478.4992992,1231,5.53877086,27,0.119999997,19,7.900000095
1027703,34.504167,-102.7275,1.835,455,475.8213534,1227,5.53096316,27,0.119999997,19,7.900000095
1035503,34.450556,-102.696389,1.82,360,471.0099801,1215,5.52059877,27,0.119999997,19,7.900000095
1035504,34.441111,-102.679167,1.85,400,470.5662476,1211,5.52063603,27,0.119999997,19,7.900000095
1035707,34.415001,-102.738889,1.89,462,466.6904982,1220,5.52914588,27,0.119999997,19,7.900000095
1035803,34.385278,-102.668333,2.2,395,466.4524428,1202,5.5114764,27,0.119999997,19,7.900000095
1036602,34.443056,-102.539167,1.47,379,474.2478174,1184,5.51629911,27,0.119999997,19,7.900000095
1036704,34.393889,-102.614445,1.485,386,468.234604,1194,5.50098868,27,0.119999997,19,7.900000095
